name	size	ml	mr	mt	mb	edges	asym_lr
fas-toilet	30x30	7	0	2	0	-R-B	7
fas-tractor	30x30	7	0	5	1	-R--	7
fas-tshirt	30x30	7	0	3	5	-R--	7
fas-wine-bottle	30x30	7	0	5	0	-R-B	7
fas-beer	30x30	6	0	7	0	-R-B	6
fas-cat	30x30	6	0	5	1	-R--	6
fas-charging-station	30x30	6	0	5	1	-R--	6
fas-crown	30x30	6	0	6	3	-R--	6
fas-dolly	30x30	6	0	7	0	-R-B	6
fas-dumpster-fire	30x30	6	0	10	3	-R--	6
fas-frog	30x30	6	0	8	2	-R--	6
fas-guitar	30x30	6	0	6	0	-R-B	6
fas-handshake	30x30	6	0	8	4	-R--	6
fas-hat-cowboy-side	30x30	6	0	7	5	-R--	6
fas-mail-bulk	30x30	6	0	2	3	-R--	6
fas-moped	30x30	6	0	9	4	-R--	6
fas-rocket	30x30	6	0	7	0	-R-B	6
fas-running	30x30	6	0	7	0	-R-B	6
fas-satellite-dish	30x30	6	0	6	0	-R-B	6
fas-screwdriver	30x30	6	0	7	0	-R-B	6
fas-share-alt	30x30	6	0	13	0	-R-B	6
fas-skiing	30x30	6	0	6	0	-R-B	6
fas-truck-monster	30x30	6	0	6	0	-R-B	6
fas-archway	30x30	5	0	5	2	-R--	5
fas-bowl-rice	30x30	5	0	8	0	-R-B	5
fas-cannabis	30x30	5	0	7	0	-R-B	5
fas-cut	30x30	5	0	6	0	-R-B	5
fas-dice	30x30	5	0	8	0	-R-B	5
fas-door-closed	30x30	5	0	4	0	-R-B	5
fas-dumbbell	30x30	5	0	3	3	-R--	5
fas-horse	30x30	5	0	3	2	-R--	5
fas-hot-tub-person	30x30	5	0	5	0	-R-B	5
fas-lock	30x30	5	0	8	0	-R-B	5
fas-mosque	30x30	5	0	2	4	-R--	5
fas-music	30x30	5	0	6	0	-R-B	5
fas-newspaper	30x30	5	0	7	0	-R-B	5
fas-pen-ruler	30x30	5	0	5	0	-R-B	5
fas-plane-departure	30x30	5	0	4	6	-R--	5
fas-plate-wheat	30x30	5	0	6	1	-R--	5
fas-print	30x30	5	0	4	0	-R-B	5
fas-swimmer	30x30	5	0	10	3	-R--	5
fas-taxi	30x30	5	0	5	0	-R-B	5
fas-teeth	30x30	5	0	11	0	-R-B	5
fas-th	30x30	5	0	6	0	-R-B	5
fas-truck-loading	30x30	5	0	6	4	-R--	5
fas-user-alt	30x30	5	0	2	2	-R--	5
fas-user-cog	30x30	5	0	4	1	-R--	5
fas-vial	30x30	5	0	6	0	-R-B	5
fas-vote-yea	30x30	5	0	8	1	-R--	5
far-clone	30x30	4	0	4	0	-R-B	4
fas-ambulance	30x30	4	0	4	3	-R--	4
fas-archive	30x30	4	0	7	0	-R-B	4
fas-border-all	30x30	4	0	6	0	-R-B	4
fas-box	30x30	4	0	2	0	-R-B	4
fas-church	30x30	4	0	2	4	-R--	4
fas-couch	30x30	4	0	4	4	-R--	4
fas-dragon	30x30	4	0	5	4	-R--	4
fas-dungeon	30x30	4	0	5	0	-R-B	4
fas-film	30x30	4	0	7	0	-R-B	4
fas-hammer	30x30	4	0	4	1	-R--	4
fas-hotel	30x30	4	0	5	0	-R-B	4
fas-house-damage	30x30	4	0	5	2	-R--	4
fas-laptop	30x30	4	0	6	3	-R--	4
fas-medkit	30x30	4	0	4	0	-R-B	4
fas-microchip	30x30	4	0	4	0	-R-B	4
fas-person-arrow-up-from-line	30x30	4	0	4	4	-R--	4
fas-puzzle-piece	30x30	4	0	7	0	-R-B	4
fas-smoking	30x30	4	0	7	0	-R-B	4
fas-snowboarding	30x30	4	0	5	0	-R-B	4
fas-suitcase	30x30	4	0	4	0	-R-B	4
fas-swimming-pool	30x30	4	0	7	0	-R-B	4
fas-th-list	30x30	4	0	7	0	-R-B	4
fas-truck-fast	30x30	4	0	5	1	-R--	4
fas-volume-up	30x30	4	0	12	0	-R-B	4
maki-cricket	30x30	4	0	0	2	-RT-	4
maki-entrance	30x30	4	0	4	4	-R--	4
maki-fuel	30x30	4	0	2	2	-R--	4
maki-music	30x30	0	4	0	4	L-T-	4
maki-restaurant-pizza	30x30	0	4	0	4	L-T-	4
maki-rocket	30x30	0	4	4	0	L--B	4
maki-slipway	30x30	4	0	4	6	-R--	4
temaki-casino	30x30	4	0	0	0	-RTB	4
fas-bath	30x30	3	0	4	0	-R-B	3
fas-box-open	30x30	3	0	15	0	-R-B	3
fas-bugs	30x30	3	0	6	0	-R-B	3
fas-cheese	30x30	3	0	5	2	-R--	3
fas-fire-extinguisher	30x30	3	0	8	0	-R-B	3
fas-key	30x30	3	0	9	0	-R-B	3
fas-map	30x30	3	0	3	4	-R--	3
fas-map-signs	30x30	3	0	4	0	-R-B	3
fas-pepper-hot	30x30	3	0	3	0	-R-B	3
fas-store-alt-slash	30x30	3	0	4	3	-R--	3
fas-synagogue	30x30	3	0	4	0	-R-B	3
fas-ticket-alt	30x30	3	0	13	0	-R-B	3
fas-video	30x30	3	0	10	1	-R--	3
fas-building-flag	30x30	2	0	5	2	-R--	2
fas-hospital-alt	30x30	2	0	3	3	-R--	2
fas-person-booth	30x30	2	0	3	0	-R-B	2
fas-shopping-basket	30x30	2	0	5	0	-R-B	2
fas-vector-square	30x30	2	0	5	0	-R-B	2
temaki-bow_and_arrow	30x30	2	0	2	0	-R-B	2
temaki-horse_shelter	30x30	0	2	2	2	L---	2
temaki-needle_and_spool	30x30	0	2	0	0	L-TB	2
temaki-pet_grooming	30x30	2	0	2	0	-R-B	2
temaki-rocket_firework	30x30	0	2	2	0	L--B	2
